frame;faceId;timeStamp;confidence;success; AU01_r; AU02_r; AU04_r; AU05_r; AU06_r; AU07_r; AU09_r; AU10_r; AU12_r; AU14_r; AU15_r; AU17_r; AU20_r; AU23_r; AU25_r; AU26_r; AU45_r; AU01_c; AU02_c; AU04_c; AU05_c; AU06_c; AU07_c; AU09_c; AU10_c; AU12_c; AU14_c; AU15_c; AU17_c; AU20_c; AU23_c; AU25_c; AU26_c; AU28_c; AU45_c;Class
41;;;;;1.56;1.23;1.2;0.01;1.19;3.17;0.12;1.17;0.92;1.01;0;1.43;0;0.49;0;0;0.92;1;1;1;0;1;1;0;1;0;1;0;1;0;0;0;0;0;0;Disgust
42;;;;;1.56;1.23;1.44;0.01;1.39;2.89;0.28;1.94;0.91;0.65;0.22;1.39;0.45;0.49;0.58;0.24;0.3;0;1;1;0;1;1;0;1;0;1;0;1;0;0;0;0;0;0;Disgust
43;;;;;1.12;0.89;0.96;0.01;1.27;1.58;0.28;2.27;1.34;1.31;0.71;1.18;0.45;0.49;0.69;0.24;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;Disgust
44;;;;;0.08;0;0.57;0;1.27;1.38;0.28;1.65;0.7;1.08;0.71;0.66;0.45;0;0.69;0.24;0;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;Disgust
47;;;;;0;0;0.21;0.22;0.51;0.87;0;0.6;0;0.35;0.06;2.27;0;1.86;0;0.46;0.78;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Disgust
48;;;;;0;0;0.93;0.22;0.51;1.74;0;0.6;0;0.7;0.12;2.27;0.24;3.25;0;1.2;0.78;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;Disgust
49;;;;;0.02;0;1.68;0.22;0.58;2.23;0.08;0.71;0.17;0.47;0.12;1.5;0.43;2.33;0.22;1.19;0.67;0;0;1;0;0;1;0;0;0;1;0;0;1;0;1;1;0;0;Disgust
50;;;;;0.05;0;2.89;0;1.75;3.03;0.23;2.1;0.5;0.36;0;1.1;0.57;0;0.66;0.61;0;0;0;1;0;1;1;1;1;0;0;1;0;1;1;0;1;0;1;Disgust
13;;;;;1.27;0;0.31;0;1;0.68;0;0.98;1.56;1.02;0.32;0.62;0.03;0.95;0.38;0.56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Fear
14;;;;;1.87;0.23;0.41;0.55;1;1.14;0;0.98;1.56;1.02;0.69;1.05;0.67;0.95;0.97;0.92;0.17;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;Fear
15;;;;;1.14;0.23;0.73;0.55;0.7;0.86;0;0.49;1.25;1.11;0.37;0.76;0.96;0.85;1.16;1.64;0.87;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;Fear
16;;;;;0.97;0.23;1.2;0.55;0.26;0.57;0;0.54;0.29;1.46;0.37;1.34;1.48;0;1.42;2.23;0.87;0;0;1;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;Fear
17;;;;;0.37;0;1.48;0;0.37;0.59;0.67;0.87;0.29;1.49;0;1.61;0.85;0;1.08;2.75;1.1;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;Fear
18;;;;;0.37;0;0.92;0.36;0.37;0.56;0.67;1.11;0.29;0.83;0;1.54;0.56;0;1.05;1.8;0.41;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;Fear
19;;;;;0;0;0.45;0.36;0.82;0.69;0.67;1.36;1.17;0.04;0.14;1.99;0;0.66;0.79;1.21;0.41;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;Fear
20;;;;;0;0;0.23;1.06;0.77;0.2;0;1.79;1.56;0.21;0.14;1.3;0;0.66;1.42;0.63;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;Fear
21;;;;;0.32;0.09;0.4;0.71;0.77;0.33;0;1.34;1.56;0.42;0.14;1.3;0;0.66;1.46;0.93;0.16;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;Fear
22;;;;;1.2;0.22;0.4;0.71;0.06;0.14;0;0.79;0.53;0.42;0;1.03;0;0.07;1.46;0.93;0.16;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Fear
23;;;;;1.2;0.22;0.24;0;0;0.14;0;0.03;0.15;0.22;0;1.03;0;0.07;0.58;0.64;0.16;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Fear
26;;;;;0;0.1;0.96;0;0;0;1.39;0.08;0;0.54;0.58;0.17;0;0;1.3;0;0.53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;Fear
27;;;;;0.79;0.1;1.24;0;0;0.47;1.39;0.08;0;0.54;1.01;0.17;0.03;0;2.17;0.35;0.64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;Fear
28;;;;;0.79;0;0.57;0;0;0.52;0.84;0.54;0.49;0.43;1.55;0;0.03;0;2.26;0.35;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;Fear
29;;;;;0.79;0;0.28;0;0;0.52;0;0.54;0.49;0;1.13;0;0.03;0;1.76;0.35;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;Fear
32;;;;;0.84;0;0.6;0.01;0.42;0;0;0.23;0.96;0;0.33;1.04;0;0.16;0.76;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;Fear
33;;;;;1.09;0;0.6;0.01;0.42;0;0;0.33;0.96;0;0.61;1.7;0.26;0.16;1.13;0.88;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;Fear
34;;;;;1.05;0;0.6;0.01;0.63;0.71;0.29;0.94;0.31;0.07;1.16;1.17;0.77;0;2.08;1.03;0.34;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;Fear
35;;;;;0.25;0;0.1;0;1.01;1.46;0.29;1.44;0.5;0.69;1.16;1.36;0.77;0.15;1.45;1.69;0.69;1;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;Fear
36;;;;;1;0.81;0.1;0.41;1.01;1.46;0.29;1.34;0.5;0.86;0.88;0.7;0.5;0.15;1.82;1.1;0.75;1;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;Fear
37;;;;;1.6;0.81;0.59;0.41;0.9;1.44;0;0.87;0.57;1.46;0.56;0.63;0;0.15;2.19;0.96;0.58;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;Fear
38;;;;;2.46;0.81;0.49;0.41;0.4;0.7;0;0.79;0.38;0.87;1.18;1.21;0.07;0.19;2.06;0.54;0.23;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;Fear
39;;;;;1.46;0;0.49;0.32;0.4;0.92;0;0.79;0.38;0.75;1.87;2.33;0.31;0.54;1.33;0.77;0.16;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;Fear
40;;;;;0.86;0;0;0.32;0.33;0.32;0.05;0.5;0.05;0.54;1.3;3.79;0.45;1.69;0;0.77;0;0;1;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;Fear
41;;;;;0;0;1.11;0.32;0.96;1.94;0.6;0.68;0.36;1.29;0.69;3.23;0.38;1.51;0.62;1.49;0.23;0;1;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;Fear
42;;;;;0.64;0.77;1.11;0;0.96;1.73;0.69;1.39;0.46;1.45;0.15;3.29;0.14;1.16;0.71;1.37;0.23;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;Fear
