frame;faceId;timeStamp;confidence;success; AU01_r; AU02_r; AU04_r; AU05_r; AU06_r; AU07_r; AU09_r; AU10_r; AU12_r; AU14_r; AU15_r; AU17_r; AU20_r; AU23_r; AU25_r; AU26_r; AU45_r; AU01_c; AU02_c; AU04_c; AU05_c; AU06_c; AU07_c; AU09_c; AU10_c; AU12_c; AU14_c; AU15_c; AU17_c; AU20_c; AU23_c; AU25_c; AU26_c; AU28_c; AU45_c;Class
60;;;;;0;0.23;0.38;0.09;1.53;2.03;0.01;1.43;0.57;0.89;0;1.48;0.09;0.47;0.85;0.48;0;0;1;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;Angry
61;;;;;0.22;0.03;0.58;0.21;0.85;1.35;0.01;1.63;0.41;0.23;0;0.98;0.02;0;2.41;1.1;0;0;0;1;1;1;1;0;1;0;0;0;1;1;0;0;0;0;0;Angry
62;;;;;0.86;0.03;1.86;0.21;1.01;1.05;0;1.72;0.17;0.55;0.46;1.48;0.82;0.33;1.56;1.23;0.06;0;0;1;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;Angry
63;;;;;0.86;0.03;2.64;0.12;1.08;1.9;0.1;2.02;0.17;0.55;0.49;1.3;0.8;0.33;2.28;2.15;0.08;0;1;1;0;1;1;0;1;0;0;0;1;0;0;0;1;0;0;Angry
64;;;;;0.64;0;2.95;0;1.12;1.97;0.1;1.7;0;1.04;0.49;2.22;0.8;0.33;0.72;1.56;0.08;0;0;1;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;Angry
65;;;;;0;0;1.28;0.14;0.32;1.31;0.1;1.13;0;0.51;0.03;2.87;0;1.67;0.72;0.95;0.36;1;1;1;0;1;1;0;1;0;0;1;1;0;0;0;0;0;0;Angry
66;;;;;0;0;0.71;0.14;1.44;1.54;0.18;1.85;0.52;1.78;0;3.06;0;1.92;0.54;0.69;0.34;1;1;1;0;1;1;0;1;0;0;1;1;0;0;0;0;0;0;Angry
67;;;;;0.06;0;0.22;0.14;1.54;1.68;0.18;1.45;0.66;1.27;0.17;2.97;0.6;2.45;0.85;0.7;0.34;1;1;1;0;1;1;0;1;0;0;1;1;0;0;0;0;0;0;Angry
68;;;;;0.06;0;0.3;0;1.54;1.66;0.18;1.89;0.66;1.27;0.17;2.37;0.6;1.09;1.09;1.32;0;1;1;1;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;Angry
69;;;;;0.16;0;0.67;0;0.78;0.9;0;1.36;0.14;0;0.54;2.39;0.6;0.84;0.61;0.92;0.11;1;1;1;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;Angry
70;;;;;0.1;0;1.15;0;1.4;1.41;0;1.97;0.54;0.32;0.37;1.79;0;0.51;0.9;0.88;0.24;1;1;1;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;Angry
71;;;;;0.14;0.01;1.19;0;1.4;1.28;0;1.52;0.54;0.32;0.46;1.09;0;0.2;1.87;0.25;0.24;1;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;Angry
72;;;;;0.04;0.01;0.61;0;0.82;0.82;0;1.28;0.54;0.32;0.09;0.8;0;0.27;2.13;0.33;0.34;1;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;Angry
73;;;;;0.11;0.01;0.82;0;1.04;1.17;0.04;1.68;0.49;0.99;0.09;0.56;0;0.07;2.64;0.33;0.32;0;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;Angry
74;;;;;0.07;0;1.34;0;1.44;1.48;0.14;2.07;0.49;1.32;0.28;1.56;0;0.11;1.44;0.33;0.32;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;Angry
75;;;;;0.07;0;1.34;0;1.44;1.42;0.14;2.42;0.49;1.43;0.28;1.09;0;0.04;1.89;0.5;0.1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;Angry
76;;;;;0;0;0.64;0;0.53;1.22;0.37;1.53;0;1.14;0.28;1.12;0;0.5;1.33;1.2;0.44;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;Angry
77;;;;;0;0;0;0;0.87;1.02;0.26;1.43;0;1.35;0;0.11;0;0.66;1.33;1.2;0.81;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;Angry
78;;;;;0.31;0;0.94;0;1.84;1.88;0.38;1.61;0.28;1.44;0.37;0.34;0.03;0.66;1.42;1.18;0.81;0;0;1;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;Angry
79;;;;;0.45;0;0.94;0;1.7;1.5;0.44;1.27;0.28;0.75;0.37;0.58;0.03;0.19;0.86;0.49;0.38;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;Angry
80;;;;;0.45;0;0.94;0;0.97;1.67;0.48;0.8;0.28;0.2;0.37;0.58;0.03;0.05;0.86;0.55;0;0;0;1;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;Angry
81;;;;;0.14;0;0.78;0;0.46;1.86;0.53;0.37;0;0;0;0.84;0;0.17;0;0.33;0;0;0;1;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;Angry
82;;;;;0.18;0;2.32;0;0.7;1.96;0.42;0.69;0;0;0.2;1.46;0;0.17;0.16;0.59;0;0;0;1;0;1;1;0;1;0;0;0;0;0;1;1;0;0;0;Angry
83;;;;;0.36;0;3.49;0;1.1;2.12;0.38;1.25;0.14;0.03;0.2;2.02;0;0.12;1.07;0.81;0;0;0;1;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;Angry
84;;;;;0.36;0;3.26;0.22;1.26;1.88;0.22;1.68;0.47;0.12;0.2;1.45;0;0;2.58;0.9;0;0;0;1;0;1;1;0;1;0;0;0;1;0;0;1;0;0;0;Angry
85;;;;;0.18;0.12;2.53;0.22;1.4;1.47;0;1.75;1.09;0.76;0;1.15;0;0.14;2.42;0.65;0;0;0;1;0;1;1;0;1;0;0;0;1;0;0;1;0;0;0;Angry
86;;;;;0;0.12;1.92;0.22;1.56;1.47;0;2.15;1.32;1.34;0.22;1.3;0;0.14;1.73;0.99;0;0;0;1;0;1;1;0;1;0;0;0;1;0;0;1;0;0;0;Angry
87;;;;;0;0.12;1.38;0;0.95;0.66;0;1.35;1;1.26;0.22;1.3;0;0.14;0.22;0.62;0;0;0;1;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;Angry
89;;;;;1.11;0.28;0.62;0.2;0.41;0.24;0;1.03;0.3;0.15;0.49;1.36;0.14;0.1;0.37;0.36;0.2;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;Angry
90;;;;;1.57;0.28;0.66;0.2;0.81;0.87;0;1.42;0.45;0.57;0.88;1.36;0.14;0.1;2.04;0.36;0.2;1;0;0;1;0;1;0;1;0;0;1;0;0;0;1;1;0;0;Angry
91;;;;;1.06;0;1;0.2;0.64;1.08;0;1.53;0.22;0.6;0.88;0.85;0;0;2.3;0.77;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;Angry
92;;;;;0.68;0;1.58;0;1.31;1.63;0.32;1.83;0.24;0.45;0.87;0.85;0;0;3.29;0.86;0;0;0;1;1;1;1;0;1;0;0;1;0;0;0;1;0;0;0;Angry
93;;;;;0.21;0;1.54;0;1.82;2.67;0.32;1.92;0.24;0.02;2.15;1.7;0.55;0;1.99;0.86;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;1;0;0;0;Angry
94;;;;;0;0;1.03;0;2.28;3.3;0.57;2.38;0.31;0;2.15;2.12;0.55;0;2.24;0.4;0.09;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;Angry
95;;;;;0;0;0.45;0;1.45;2.73;0.25;1.27;0.22;0;1.67;1.43;0.55;0;0.89;0.09;0.09;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;Angry
98;;;;;0;0;0.5;0;1.23;2.07;0;0.72;0.48;0.46;0.06;0.04;0;0;0.81;0.09;0.04;0;0;1;0;1;1;0;1;0;0;0;0;0;0;1;0;0;1;Angry
99;;;;;0.32;0.26;0.5;0;1.7;2.41;0.27;1.13;0.82;0.67;0.59;0.93;0;0;0.84;0.09;0.04;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;Angry
100;;;;;0.32;0.26;0.83;0;1.78;3.36;0.45;1;0.71;0.4;0.66;0.89;0;0;1.83;0.53;0.59;1;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;Angry
101;;;;;0.32;0.26;0.83;0;1.19;2.19;0.45;0.84;0.34;0.21;0.66;0.89;0;0;1.97;0.82;0.55;1;0;1;0;1;1;0;1;0;0;0;0;0;0;1;0;0;1;Angry
102;;;;;0;0;0.83;0;0.72;2.37;0.3;0.49;0;0;0.12;0.35;0;0.26;2.27;1.32;0.55;1;0;0;0;1;1;0;1;0;0;0;1;1;0;0;0;0;1;Angry
103;;;;;0.27;0;0.25;0;0.62;1.66;0.11;0.89;0;0.13;0.29;1.67;0.06;0.5;1.15;1.29;0.48;1;1;1;0;1;1;0;1;0;0;0;1;1;0;0;0;0;1;Angry
104;;;;;0.6;0.41;0.43;0;0.97;1.38;0.11;1.53;0.21;0.83;0.29;2.96;0.49;0.5;0.37;1.5;1.33;1;1;1;0;1;1;0;1;0;0;1;1;0;0;0;0;0;1;Angry
105;;;;;0.6;0.9;0.87;0;2.1;1.43;0;2.27;0.57;1.6;0.29;2.89;0.57;0.81;0.2;1.55;1.49;1;1;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;1;Angry
106;;;;;0.72;0.9;0.88;0;1.56;0.93;0;1.63;0.57;1.47;0.09;2.56;0.51;0.57;0.77;1.2;1.02;1;1;1;0;1;1;0;0;0;0;1;1;0;0;0;0;0;1;Angry
